Основные взрослые тарифы,Основные детские тарифы,Оздоровительный взр,Оздоровит дтс,Добрый вечер взр,Добрый вечер дтс,Льготные взрослые тарифы,Льготные детские тарифы,Дополнительные ,Бесплатно,КОРПОРАТИВНЫЕ
*** 2 часа ВЗР,*** 2 часа ДЕТ,2+ | ВЗР | Оздоровительный | Абонемент 0,2+ | ДЕТ | Оздоровительный | Абонемент 0,*** Добрый вечер ВЗР,*** Добрый вечер ДЕТ,*** 2 часа ЛГТ,*** 2 часа ДЕТ (-50% по билету),100 Мин | АКВААЭРОБИКА, ДЕТИ БЕСПЛАТНО|4 часа,"КОРП, ЛЕНТА, ТЕЛЕ2, если БЕСПЛАТНО, то группа БЕСПЛАТНО"
*** 4 часа ВЗР,*** 4 часа ДЕТ,2+ Часа ВЗР | Оздоровительный,2+ Часа ДЕТ | Оздоровительный,Абонемент Добрый вечер,Добрый вечер ЮНИОР,*** 4 часа ЛГТ,*** 2 часа Юниор (-50% по билету),100 Мин | АКВААЭРОБИКА | ДЕТ, юниор|акция 4 часа Бесплатно,
*** Безлимит ВЗР,*** 4 часа Юниор,2+ Часа ВЗР | Оздоровительный | Абонемент 0,2+ Часа ДЕТ | Оздоровительный | Абонемент 0,Абонемент| Добрый вечер,Добрый_вечер ЮНИОР,*** Безлимит ЛГТ,*** 4 часа ДЕТ (-50% по билету),100 Мин | АКВАФИТНЕС,2+ | БЕСПЛАТНО | КОРП,
2+ ВЗР,*** Безлимит Юниор,2+ Часа ВЗР | Оздоровительный | Онлайн,,Добрый вечер ВЗР,Оздоровительный вечер ЮНИОР,*** Добрый вечер ЛГТ,*** 4 часа Юниор (-50% по билету),100 Мин | АКВАФИТНЕС | ДЕТ,2+ | БЕСПЛАТНО | КОРП | ВЗР,
2+ ВЗР | ОНЛАЙН,*** БезлимитДЕТ,2+ Часа ВЗР | СЧАСТЛИВЫЙ ЧАС,2+ Часа ДЕТ | Оздоровительный | Онлайн,Добрый вечер ВЗР | Абонемент,Субботний Добрый вечер Юниор А,2+ ЛГТ,*** Безлимит ДЕТ (-50% по билету),160 Мин | АКВААЭРОБИКА,5+ | БЕСПЛАТНО | КОРП,
2+ | СЕМЕЙНЫЙ 2+2 | СЕРТ,2+ ДЕТ,Абонемент Оздоровительный вечер,2+ Часа ДЕТ | СЧАСТЛИВЫЙ ЧАС,Добрый вечер ВЗР | Онлайн,Воскресный Добрый вечер ЮНИОР А,2+ Часа ЛГТ | СЧАСТЛИВЫЙ ЧАС,*** Безлимит Юниор (-50% по билету),160 Мин | АКВААЭРОБИКА | ДЕТ,5+ | БЕСПЛАТНО | КОРП | ВЗР,
2+ | СЕРТ,2+ ДЕТ | ОНЛАЙН,Оздоровительный ВЗР,2+ Часа Юниор | Оздоровительный,Добрый вечер ВЗР | СЕРТ,[Нет МБ] Добрый вечер ДЕТ,4+ ЛГТ,*** Добрый вечер ДЕТ (-50% по билету),160 Мин | АКВАФИТНЕС,до 5 лет|4 часа,
2+ ДО5,2+ ЮНИОР,"Годовой абонемент Оздоровительный ВЗР (1,00)",2+ Часа Юниор | СЧАСТЛИВЫЙ ЧАС,Добрый_вечер ВЗР,[Нет МБ] Добрый вечер ЮНИОР,4+ ЛГТ | ОНЛАЙН,*** Добрый вечер Юниор (-50% по билету),160 Мин | АКВАФИТНЕС | ДЕТ,до 5 лет|безлимит,
3+ ВЗР | Семейный уикенд,3+ ДЕТ | Семейный уикенд,"Годовой абонемент ""Оздоровительный""",Абонемент| Оздоровительный 10 посещений,Оздоровительный вечер ВЗР,,4+ ЛГТ|MB,*** Добрый вечер Юниор,70 Мин | АКВАФИТНЕС,до 5 лет|доброе утро,
3+ Улётный комбо ВЗР,3+ Улётный комбо ДЕТ,Доброе утро ВЗР,Абонемент| Оздоровительный 5 посещений,Оздоровительный вечер ВЗР | Абонемент,,5+ ВЗР | Реферал,4+ ЛГТ|Юниор,АкваАэробика 10 посещений ВЗР,до 5 лет|добрый вечер,
3+ Улётный комбо ВЗР Онлайн (0),3+ Улётный комбо ДЕТ Онлайн (0),[Нет МБ] Доброе утро ВЗР,Оздоровительный ЮНИОР,Субботний Добрый вечер ВЗР,,5+ ЮНИОР | Реферал,5+ ДЕТ | Реферал,АкваАэробика 5 посещений ВЗР,до 5 лет|продленка,
3+ часа с комбо  ВЗР,3+ Улётный комбо ЮНИОР,Специальный оздоровительный ВЗР,Доброе утро Юниор,Воскресный Добрый вечер ВЗР,,Акция лето 2022 ДР|4 часа,ДЕТ Безлимитный СВО,АкваАэробика Разовый ВЗР,до 5 лет|счастливый час,
3+ часа с комбо ВЗР,3+ часа с комбо ДЕТ,,[Нет МБ] Доброе утро ДЕТ,Сертификат Добрый вечер ВЗР,,Акция лето 2022 ДР|Безлимит,ДЕТ ДР 2023| 4 часа,АкваЯсли,юниор|акция 4 часа Бесплатно,
3+ часа с комбо ВЗР Онлайн (0),3+ часа с комбо ДЕТ Онлайн (0),,[Нет МБ] 2+ Часа ДЕТ | Оздоровительный,"Сертификат ""Добрый вечер"" ВЗР",,Акция третий бесплатно 4часа,ДЕТ ДР 2023|4 часа|Взрослый,Аквазона,Дети | Инвалиды,
4+ (Отель_Бархатный сезон)  ВЗР,3+ часа с комбо ЮНИОР,,Оздоровительный Добрый вечер ЮНИОР,Оздоровительный Добрый вечер ВЗР,,Безлимит ВЗР СВО,ДЕТ ДР 2023|6 часов,Аквафитнес 10 посещений ВЗР,Дети бесплатно,
4+ | СЕМЕЙНЫЙ 2+2 | СЕРТ,4+ (Отель_Бархатный сезон)  ДЕТ,,Воскресный Оздоровительный вечер ЮНИОР,"Годовой абонемент Добрый вечер ВЗР (1,00)",,ВЗРОСЛЫЙ|СОПРОВОЖД | 5 часов,ДЕТ ДР 2023|6 часов|Взрослый,Аквафитнес 10 посещений ЛГТ,Дети до 5 лет,
4+ | СЕРТ,4+ ДЕТ,,,"Годовой абонемент ""Добрый вечер""",,ВЗРОСЛЫЙ|СОПРОВОЖД|4 часа,ДЕТ ДР 2024| 4 часа,Аквафитнес 5 посещений ВЗР,все БЕСПЛАТНО,
4+ ВЗР,4+ ДЕТ | ОНЛАЙН,,,Воскресный Оздоровительный вечер ВЗР,,"ВЗРОСЛЫЙ|СОПРОВОЖД|5 часов|Онлайн (1,00)",ДЕТ ДР 2024|4 часа|Взрослый,Аквафитнес 5 посещений ЛГТ,,
4+ ВЗР | Баня,4+ ДЕТ | СЕРТ,,,[Нет МБ] Добрый вечер ВЗР,,ВЗРОСЛЫЙ|СОПРОВОЖД|6 часов,ДЕТ ДР 2024|5+ часов,Аквафитнес Разовый ВЗР,,
4+ ВЗР | ОНЛАЙН,4+ ДЕТ | Терма,,,,,ВЗРОСЛЫЙ|СОПРОВОЖД|безлимитный,ДЕТ ДР 2024|5+ часов|Взрослый,Аквафитнес Разовый ЛГТ,,
4+ ВЗР | СЕРТ,4+ ДЕТ|Идем в баню!,,,,,"ВЗРОСЛЫЙ|СОПРОВОЖД|безлимитный|Онлайн (1,00)",ДЕТ ДР| 4 часа,__Спортивный__,,
4+ ВЗР | Терма,4+ Улетный комбо бокс | ДЕТ,,,,,ВЗРОСЛЫЙ | СОПРОВОДЖ | Добрый вечер,ДЕТ ДР| 4 часа|Взрослый,Детский праздник | 4 часа,,
4+ ВЗР|MB,4+ ЮНИОР,,,,,ВЗРОСЛЫЙ | СОПРОВОДЖ | Добрый вечер|MB,ДЕТ ДР| 6+,Детский праздник | 4 часа | ВЗР,,
4+ ВЗР|Идем в баню!,4+ ЮНИОР | Терма,,,,,ЛЬГОТИНЫЙ|СОПРОВОЖД|4 часа,ДЕТ ДР| 6+|Взрослый,Детский праздник | 5+ часов,,
4+ ДО5,4+ ЮНИОР|Идем в баню!,,,,,ЛЬГОТНЫЙ|СОПРОВОЖД|4 часа,ДЕТ ДР| Безлимит,Детский праздник | 5+ часов | ВЗР,,
4+ часа с комбо ВЗР,4+ Юниор | ОНЛАЙН,,,,,ЛЬГОТНЫЙ|СОПРОВОЖД|безлимитный,ДЕТ ДР| Безлимит|Взрослый,детский|акция 4 часа Бесплатно,,
4+ часа с комбо ВЗР Онлайн (0),4+ Юниор | СЕРТ,,,,,Безлимит ЛГТ,ДЕТ|СОПРОВОЖД| 4 часа,Детское плавание | Посещение,,
5+ ВЗР,4+ часа с комбо ДЕТ,,,,,Безлимит ЛГТ | ОНЛАЙН,ДЕТ|СОПРОВОЖД| 5 часов,Гость Улетной Кухни ВЗР,,
5+ ВЗР | СЕРТ,4+ часа с комбо ДЕТ Онлайн (0),,,,,Безлимит ЛГТ | ТУР АКВАПАРК | СЕРТ,ДЕТ|СОПРОВОЖД| 6 часов,Стикини,,
5+ часов ВЗР | ОНЛАЙН,4+ часа с комбо ЮНИОР,,,,,Безлимит ЛГТ|MB,ДЕТ|СОПРОВОЖД| безлимитный,Термозона,,
5+1 часов ВЗР,5+ ДЕТ,,,,,ВЗРОСЛЫЙ ДР|4 часа,ДЕТ|СОПРОВОЖД| Добрый вечер,Сертификат Термозона,,
6+ ВЗР,5+ ДЕТ | СЕРТ,,,,,ВЗРОСЛЫЙ ДР|Безлимит,Безлимит ДЕТ СВО,СП для клуба REEF| 10 сеансов взрослые,,
Безлимит (Imperial Resort_Отель) ВЗР,5+ ЮНИОР,,,,,Безлимит|Взрослый|Гулливер,"Безлимит ДЕТ/ОНЛАЙН ПРОМО (0,00)","СП для посетитей ""Улет""| Дети (3-16 лет)",,
Безлимит (Imperial Village_Виллы) ВЗР,5+ Юниор | СЕРТ,,,,,"Билет ""Улёт"" 5+ | КОРП",Безлимит ДЕТ|MB,СП| 1 сеанс - Взрослые,,
Безлимит (Отель_Всё включено) ВЗР,5+ часов | Акваперемена | ДЕТ,,,,,ВЗР Безлимитный СВО,Продленка ДЕТ,СП| 1 сеанс - Дети 3 - 7 лет (в сопр. взрослого),,
Безлимит | ГОДОВОЙ СЕРТ,5+ часов | Акваперемена | ЮНИОР,,,,,"Безлимит ВЗР/ ОНЛАЙН ПРОМО (1,00)",Доброе утро ДЕТ,СП| 1 сеанс - Дети 3-7 лет (второй ребенок),,
Безлимит | СЕМЕЙНЫЙ 2+2 | СЕРТ,5+ часов ДЕТ | ОНЛАЙН,,,,,Безлимит ВЗР|MB,Добрый вечер ДЕТ,СП| 1 сеанс - Дети 7 - 16 лет и пенсионеры,,
Безлимит | СЕРТ,5+1 часов ДЕТ,,,,,Внук 4 часа,Добрый вечер ДЕТ | Абонемент,СП| 1 сеанс - Семья (3 человека),,
Безлимит ВЗР,5+1 часов ЮНИОР,,,,,Добрый вечер ВЗР | РЕГ,Добрый вечер ДЕТ | Онлайн,СП| 10 сеансов - Взрослые (-10%),,
Безлимит ВЗР | ОНЛАЙН,6+ ДЕТ,,,,,Добрый вечер ВЗР | ТЕЛЕ2,Добрый вечер ДЕТ | СЕРТ,СП| 10 сеансов - Дети 3 - 7 лет (в сопр. взрослого) (-10%),,
Безлимит ВЗР | СЕРТ,6+ ДЕТ А,,,,,Добрый вечер ВЗР | Терма,Добрый вечер ДЕТ | Терма,СП| 10 сеансов - Дети 7 - 16 лет и пенсионеры (-10%),,
Безлимит ВЗР | ТУР АКВАПАРК | СЕРТ,6+ ЮНИОР,,,,,Добрый вечер ВЗР|MB,Добрый вечер ДЕТ А,СП| Купон - Дети 3-7 лет (в сопр. взр.),,
Безлимит ВЗР | Терма,6+ ЮНИОР А,,,,,Добрый вечер ВЗР|Идем в баню!,Добрый вечер ДЕТ|MB,СП| СЧас - 10 сеансов | Дети 3-7 лет плюс взрослый 13.00-14.00,,
взрослый||2,6+ ЮРИОР А,,,,,ДР Standart | 4 часа,Добрый вечер ДЕТ|Идем в баню!,Специальный,,
взрослый||4,Безлимит (Imperial Resort_Отель) ДЕТ,,,,,ДР Standart | Безлимит,Добрый_вечер ДЕТ,ВЗРОСЛЫЙ|СОПРОВОЖД|4 часа,,
